 NAME III (version 6.5)                                          
 Run name:                   Training Example 1
 Run time:                   30/09/2015 15:20:04.640 UTC+01:00
 Met data:                   Single Site Flow.Met Station
 Start of release:           08/10/2008 00:00 UTC
 End of release:             08/10/2008 06:00 UTC
 Source strength:            100.0000 g / s
 Release location:           3.4700W   50.7300N
 Release height:             150.000m agl +/- 0.000m
 Run duration:               12hr 0min
 X grid origin:                -6.445000    
 Y grid origin:                 47.75500    
 X grid size:                         120
 Y grid size:                         120
 X grid resolution:            5.0000001E-02
 Y grid resolution:            5.0000001E-02
 Number of preliminary cols:            4
 Number of field cols:                  1
 
 Fields:
                        ,                        ,                        ,                        ,                    Tracer,
                        ,                        ,                        ,                        ,                     Req 1,
                        ,                        ,                        ,                        ,         Air Concentration,
                        ,                        ,                        ,                        ,                    Tracer,
                        ,                        ,                        ,                        ,                   g / m^3,
                        ,                        ,                        ,                        ,               All sources,
                        ,                        ,                        ,                        ,     No ensemble averaging,
                        ,                        ,                        ,                        ,          1hr 0min average,
                        ,                        ,                        ,                        ,   No horizontal averaging,
                        ,                        ,                        ,                        ,     No vertical averaging,
                        ,                        ,                        ,                        ,                          ,
                        ,                        ,                        ,                        ,                          ,
                        ,                        ,                        ,                        ,                          ,
                      87,                      59,               -2.145000,                50.65500,             8.5406947E-07,
                      87,                      60,               -2.145000,                50.70500,             7.7224951E-07,
                      87,                      61,               -2.145000,                50.75500,             9.6645829E-07,
                      87,                      62,               -2.145000,                50.80500,             7.1856113E-07,
                      87,                      63,               -2.145000,                50.85500,             2.7669859E-07,
                      87,                      65,               -2.145000,                50.95500,             2.7726852E-08,
                      87,                      66,               -2.145000,                51.00500,             5.5513887E-08,
                      88,                      52,               -2.095000,                50.30500,             2.7347355E-08,
                      88,                      53,               -2.095000,                50.35500,             8.2129894E-08,
                      88,                      54,               -2.095000,                50.40500,             1.0962387E-07,
                      88,                      55,               -2.095000,                50.45500,             1.6459454E-07,
                      88,                      56,               -2.095000,                50.50500,             4.3939002E-07,
                      88,                      57,               -2.095000,                50.55500,             6.3230215E-07,
                      88,                      58,               -2.095000,                50.60500,             9.0819231E-07,
                      88,                      59,               -2.095000,                50.65500,             9.0917069E-07,
                      88,                      60,               -2.095000,                50.70500,             8.2741013E-07,
                      88,                      61,               -2.095000,                50.75500,             8.0077979E-07,
                      88,                      62,               -2.095000,                50.80500,             4.9746541E-07,
                      88,                      63,               -2.095000,                50.85500,             1.9368900E-07,
                      88,                      64,               -2.095000,                50.90500,             1.3849912E-07,
                      88,                      65,               -2.095000,                50.95500,             5.5453704E-08,
                      88,                      66,               -2.095000,                51.00500,             5.5513887E-08,
                      89,                      53,               -2.045000,                50.35500,             5.4753261E-08,
                      89,                      54,               -2.045000,                50.40500,             8.2217902E-08,
                      89,                      55,               -2.045000,                50.45500,             2.1945939E-07,
                      89,                      56,               -2.045000,                50.50500,             3.8446626E-07,
                      89,                      57,               -2.045000,                50.55500,             4.9484515E-07,
                      89,                      58,               -2.045000,                50.60500,             6.6050353E-07,
                      89,                      59,               -2.045000,                50.65500,             8.5406953E-07,
                      89,                      60,               -2.045000,                50.70500,             1.1307939E-06,
                      89,                      61,               -2.045000,                50.75500,             6.3510117E-07,
                      89,                      62,               -2.045000,                50.80500,             6.0801324E-07,
                      89,                      63,               -2.045000,                50.85500,             3.3203830E-07,
                      89,                      64,               -2.045000,                50.90500,             1.9389877E-07,
                      89,                      65,               -2.045000,                50.95500,             1.1090741E-07,
                      89,                      66,               -2.045000,                51.00500,             2.7756943E-08,
                      90,                      52,               -1.995000,                50.30500,             5.4694709E-08,
                      90,                      53,               -1.995000,                50.35500,             2.7376631E-08,
                      90,                      54,               -1.995000,                50.40500,             2.7405969E-07,
                      90,                      55,               -1.995000,                50.45500,             2.1945938E-07,
                      90,                      56,               -1.995000,                50.50500,             4.1192817E-07,
                      90,                      57,               -1.995000,                50.55500,             5.4982797E-07,
                      90,                      58,               -1.995000,                50.60500,             7.4306649E-07,
                      90,                      59,               -1.995000,                50.65500,             9.9182262E-07,
                      90,                      60,               -1.995000,                50.70500,             6.3434777E-07,
                      90,                      61,               -1.995000,                50.75500,             4.9703567E-07,
                      90,                      62,               -1.995000,                50.80500,             5.5273932E-07,
                      90,                      63,               -1.995000,                50.85500,             1.6601915E-07,
                      90,                      64,               -1.995000,                50.90500,             1.3849912E-07,
                      90,                      65,               -1.995000,                50.95500,             2.7726852E-08,
                      91,                      53,               -1.945000,                50.35500,             2.7376631E-08,
                      91,                      54,               -1.945000,                50.40500,             1.3702984E-07,
                      91,                      55,               -1.945000,                50.45500,             3.2918908E-07,
                      91,                      56,               -1.945000,                50.50500,             3.5700441E-07,
                      91,                      57,               -1.945000,                50.55500,             3.5738819E-07,
                      91,                      58,               -1.945000,                50.60500,             5.7794057E-07,
                      91,                      59,               -1.945000,                50.65500,             7.1631632E-07,
                      91,                      60,               -1.945000,                50.70500,             9.3773150E-07,
                      91,                      61,               -1.945000,                50.75500,             7.1794045E-07,
                      91,                      62,               -1.945000,                50.80500,             7.1856118E-07,
                      91,                      63,               -1.945000,                50.85500,             3.8737801E-07,
                      91,                      64,               -1.945000,                50.90500,             2.4929841E-07,
                      92,                      54,               -1.895000,                50.40500,             1.0962387E-07,
                      92,                      55,               -1.895000,                50.45500,             2.4689180E-07,
                      92,                      56,               -1.895000,                50.50500,             5.4923754E-07,
                      92,                      57,               -1.895000,                50.55500,             7.9725055E-07,
                      92,                      58,               -1.895000,                50.60500,             6.3298256E-07,
